field_id,gewas,crop_class,area_ha,ndvi_apr,ndvi_may,ndvi_jun,ndvi_jul,ndvi_aug,ndvi_sep,ndvi_oct,ndwi_apr,ndwi_may,ndwi_jun,ndwi_jul,ndwi_aug,ndwi_sep,ndwi_oct,ndvi_peak,ndvi_peak_month,ndvi_season_mean,ndvi_range,ndwi_peak,ndwi_peak_month,ndwi_season_mean,ndwi_range
0,"Grasland, tijdelijk",Grass,0.7661808387497274,0.8175394206928152,0.6474375154135293,0.5803049678065676,0.444897422111662,0.46419546783572196,0.6431465075935211,0.8015930798919046,-0.742775813690552,-0.6142752988309144,-0.5695605020220686,-0.49930265950121083,-0.49703488018610736,-0.5732919019153844,-0.7187623527665097,0.8175394206928152,apr,0.6284449116208174,0.37264199858115316,-0.49703488018610736,aug,-0.6021433441303924,0.24574093350444465
1,"Gerst, zomer-",Barley,4.536243592946402,0.4647328608786866,0.5157214923989908,0.29586993562213687,0.4313135523039078,0.7968866554474348,0.2938423096135956,0.3836523486275379,-0.4899830071844945,-0.5074818921735356,-0.3969863590327519,-0.4566920852804522,-0.707940029847138,-0.3453146516092188,-0.4248700723012756,0.7968866554474348,aug,0.45457416498461295,0.5030443458338392,-0.3453146516092188,sep,-0.4756097282041237,0.3626253782379192
2,"Aardappelen, consumptie",Potato,2.1307931646559517,0.3494377395852362,0.361584572255747,0.8201488036580998,0.8717015018179709,0.6961629163197189,0.359604930597681,0.2708487225672856,-0.45896237111895355,-0.45119677837484046,-0.7459653158625269,-0.768131400078517,-0.6381920120639116,-0.43553387694913887,-0.3595316187408819,0.8717015018179709,jul,0.5327841695431057,0.6008527792506853,-0.3595316187408819,oct,-0.5510733390269672,0.4085997813376351
3,"Mais, corncob mix",Maize,0.8999900086076177,0.33727800002668246,0.32837870422753246,0.6613812021473958,0.832880520504122,0.7437536472232795,0.5091237860276053,0.4235380014107987,-0.4099369010240541,-0.40042209135594564,-0.6064441928175593,-0.7646153468667928,-0.6676113647256348,-0.5014076040003703,-0.4802922119954164,0.832880520504122,jul,0.548047694509631,0.5045018162765895,-0.40042209135594564,may,-0.547247101826539,0.36419325551084714
4,"Uien, gele zaai-",Onion,3.651976578173849,0.292880202736188,0.30467403435353374,0.4559165937257374,0.5496581983291741,0.5002196500247729,0.3490810862064619,0.2789261315329988,-0.41615862745938975,-0.4334927710344796,-0.5137104064477059,-0.5880003584577708,-0.5331640735367823,-0.407065569720643,-0.2804632866338681,0.5496581983291741,jul,0.3901936995584096,0.2707320667961753,-0.2804632866338681,oct,-0.4531507276129485,0.30753707182390266
5,"Uien, gele zaai-",Onion,13.232703413127158,0.2786637092844712,0.2964026194162569,0.6330246978869389,0.7218048554852939,0.3099792894210287,0.2869206228708655,,-0.40905196937333554,-0.41312706546911876,-0.6273371729246141,-0.6891559847513954,-0.43666423576479485,-0.34606791911833806,,0.7218048554852939,jul,0.4211326323941425,0.44314114620082273,-0.34606791911833806,sep,-0.4869007245669328,0.3430880656330573
6,"Uien, gele zaai-",Onion,6.871903996566101,0.2747363907692414,0.2685019760413182,0.597346879196099,0.6805720562699732,0.3688808720824932,0.2461060253911522,,-0.38318829423304723,-0.36769339362577486,-0.5948138715704395,-0.6473724553451738,-0.4406233509188805,-0.3136103227717247,,0.6805720562699732,jul,0.4060240332917128,0.43446603087882096,-0.3136103227717247,sep,-0.45788361474417344,0.33376213257344917
7,"Mais, snij-",Maize,2.458973266749825,0.26994517587861977,0.24906978028339005,0.6663728942729138,0.730764118338846,0.8206323500652304,0.2380267225042183,0.2793568151397102,-0.37583507427718377,-0.34116885811369424,-0.6362050714227971,-0.6960809259721283,-0.7656957944641822,-0.3258933577266687,-0.4010280188024448,0.8206323500652304,aug,0.46488112235470413,0.5826056275610121,-0.3258933577266687,sep,-0.5059867286827285,0.4398024367375135
8,"Mais, snij-",Maize,5.482668474590242,0.8731319008363995,0.3599730485667302,0.44075221804647774,0.737065372675395,0.8353071285094898,0.3970028136799382,0.2935793269797369,-0.7770753041198488,-0.44952337368116896,-0.4846831788020812,-0.6860554554233254,-0.7756040828925068,-0.43011590656740417,-0.4209201439439969,0.8731319008363995,apr,0.5624016870420239,0.5795525738566626,-0.4209201439439969,oct,-0.5748539207757617,0.3561551601758519
9,"Grasland, tijdelijk",Grass,6.5964373668187735,0.8656873808653243,0.7233623305160974,0.6307597770772793,0.8132066453618876,0.6549941902965226,0.7670516404253652,0.6682755022277223,-0.7812217095227236,-0.6480624044422321,-0.5781730516606628,-0.7045369372222933,-0.6087373702378838,-0.6636328770978084,-0.6060288986713874,0.8656873808653243,apr,0.7319053523957427,0.234927603788045,-0.5781730516606628,jun,-0.6557704641221417,0.20304865786206083
